method,rl_50y,rl_100y
Gumbel_block_max,35.303391192310556,36.30904138158267
GEV_block_max,32.73537081364387,32.90323963732402
Weibull_block_max,32.673367347527325,32.879068882359554
Lognormal_block_max,33.27383195238324,33.68257317610925
POT_GPD,32.913897527356504,33.15898925562182
