bin_center,count,bins_left,bins_right,probability,cumulative_probability
0.31269327,1722,0.0051581254,0.6202284,0.0025847472891674774,0.0025847472891674774
0.9277635,5404,0.6202284,1.2352986,0.00811148336275322,0.010696230651920699
1.5428338,9665,1.2352986,1.8503689,0.014507306939491095,0.025203537591411796
2.1579041,14222,1.8503689,2.4654393,0.021347430863263565,0.04655096845467536
2.7729745,18828,2.4654393,3.0805097,0.028261104506646494,0.07481207296132185
3.3880448,23229,3.0805097,3.6955798,0.034867070139414244,0.10967914310073609
4.0031147,27802,3.6955798,4.31065,0.041731210298161556,0.15141035339889766
4.618185,31859,4.31065,4.92572,0.047820826878970185,0.19923118027786785
5.2332554,35558,4.92572,5.5407906,0.0533730802022167,0.25260426048008455
5.8483257,38307,5.5407906,6.155861,0.05749936957383191,0.31010363005391645
6.463396,40688,6.155861,6.7709312,0.061073285541025736,0.3711769155949422
7.0784664,41341,6.7709312,7.386001,0.062053448130936516,0.4332303637258787
7.6935368,41330,7.386001,8.001072,0.06203693696939131,0.49526730069527003
8.308607,40375,8.001072,8.616142,0.060603467944330365,0.5558707686396004
8.923677,37999,8.616142,9.231213,0.057037057050566185,0.6129078256901666
9.538748,36535,9.231213,9.846283,0.054839571550368046,0.6677473972405346
10.153818,33854,9.846283,10.461353,0.05081535117739592,0.7185627484179306
10.768888,30252,10.461353,11.076424,0.04540869627868439,0.7639714446966149
11.383959,27241,11.076424,11.691494,0.04088914105935613,0.8048605857559711
11.999029,24172,11.691494,12.306564,0.03628252698824405,0.841143112744215
12.6140995,20924,12.306564,12.921635,0.03140723128835093,0.872550344032566
13.22917,17981,12.921635,13.536705,0.026989745067665744,0.8995400891002318
13.84424,15642,13.536705,14.151775,0.023478871717280882,0.9230189608175127
14.459311,12740,14.151775,14.766845,0.019122927098718732,0.9421418879162313
15.07438,10265,14.766845,15.381915,0.015407915751047708,0.957549803667279
15.68945,8101,15.381915,15.996985,0.012159719970700193,0.9697095236379792
16.30452,6172,15.996985,16.612055,0.009264262641545685,0.9789737862795249
16.91959,4482,16.612055,17.227125,0.006727547822327894,0.9857013341018529
17.53466,3261,17.227125,17.842196,0.004894808890810187,0.9905961429926631
18.14973,2300,17.842196,18.457266,0.0034523337776336802,0.9940484767702967
18.764801,1530,18.457266,19.072336,0.0022965524694693613,0.9963450292397661
19.379871,1000,19.072336,19.687407,0.0015010146859276872,0.9978460439256938
19.994942,609,19.687407,20.302477,0.0009141179437299615,0.9987601618694237
20.610012,329,20.302477,20.917547,0.0004938338316702091,0.999253995701094
21.225082,232,20.917547,21.532618,0.0003482354071352234,0.9996022311082292
21.840153,128,21.532618,22.147688,0.00019212987979874395,0.9997943609880279
22.455223,63,22.147688,22.762758,9.456392521344429e-05,0.9998889249132413
23.070293,35,22.762758,23.377829,5.253551400746905e-05,0.9999414604272489
23.685364,20,23.377829,23.992899,3.002029371855374e-05,0.9999714807209674
24.300434,8,23.992899,24.60797,1.2008117487421497e-05,0.9999834888384548
24.915504,5,24.60797,25.22304,7.505073429638435e-06,0.9999909939118844
25.530575,1,25.22304,25.83811,1.5010146859276871e-06,0.9999924949265704
26.145645,2,25.83811,26.45318,3.0020293718553743e-06,0.9999954969559423
26.760715,1,26.45318,27.06825,1.5010146859276871e-06,0.9999969979706281
27.375786,0,27.06825,27.683321,0.0,0.9999969979706281
27.990856,0,27.683321,28.298391,0.0,0.9999969979706281
28.605927,0,28.298391,28.913462,0.0,0.9999969979706281
29.220997,1,28.913462,29.52853,1.5010146859276871e-06,0.9999984989853141
29.836065,0,29.52853,30.1436,0.0,0.9999984989853141
30.451138,1,30.1436,30.758673,1.5010146859276871e-06,1.0
